#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr1	1050000	1100000	A12-C	2.81301	40	43	766	954	0.445349	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	1050000	1100000	A12-D	2.47558	40	41	731	909	0.445732	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	1100000	1150000	A12-A	2.31682	91	44	1787	2302	0.437026	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1100000	1150000	A12-C	2.65669	91	46	1847	2380	0.436953	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1100000	1150000	A12-D	2.33401	91	43	1730	2228	0.437089	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1150000	1200000	A12-A	2.45193	142	42	2628	3413	0.435027	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	1150000	1200000	A12-C	2.77419	142	43	2666	3536	0.429861	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	1150000	1200000	A12-D	2.44492	142	40	2438	3282	0.426224	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	1200000	1250000	A12-A	2.43434	63	42	1172	1488	0.440602	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1200000	1250000	A12-C	2.73625	63	43	1189	1536	0.43633	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1200000	1250000	A12-D	2.40639	63	40	1144	1427	0.444963	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1250000	1300000	A12-A	2.51732	11	42	203	268	0.430998	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	1250000	1300000	A12-C	2.93666	11	43	227	256	0.5	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	1250000	1300000	A12-D	2.50286	11	37	174	234	0.426471	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	1300000	1350000	A12-A	2.09599	5	50	112	140	0.444444	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1300000	1350000	A12-C	2.4398	5	54	119	151	0.440741	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1300000	1350000	A12-D	2.19737	5	43	95	121	0.439815	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1350000	1400000	A12-A	2.20269	24	40	427	549	0.4375	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1350000	1400000	A12-C	2.54108	26	42	464	633	0.422972	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1350000	1400000	A12-D	2.18599	25	38	416	541	0.434692	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1400000	1450000	A12-A	2.18829	58	42	1072	1370	0.438984	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1400000	1450000	A12-C	2.46509	58	41	999	1409	0.414867	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1400000	1450000	A12-D	2.16676	58	39	976	1340	0.421416	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1450000	1500000	A12-A	2.29531	75	42	1410	1807	0.438297	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1450000	1500000	A12-C	2.64157	75	43	1378	1912	0.418845	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1450000	1500000	A12-D	2.31617	75	40	1287	1759	0.422521	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1500000	1550000	A12-A	1.9574	65	42	1116	1615	0.408642	38	1|1	0.217686	2|1	0	2|1	0	1|1	0.782314	2|0	0
chr1	1500000	1550000	A12-C	2.25986	65	45	1218	1753	0.409963	38	1|1	0.222725	2|1	0.261793	2|1	0	1|1	0.515482	2|0	0
chr1	1500000	1550000	A12-D	1.98708	65	40	1085	1564	0.409589	38	1|1	0.176347	2|1	0	2|1	0.217594	1|1	0	2|0	0.606059
chr1	1550000	1600000	A12-A	2.31336	55	41	937	1348	0.410066	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1550000	1600000	A12-C	2.64446	55	42	944	1402	0.402387	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1550000	1600000	A12-D	2.30273	55	40	906	1294	0.411818	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1600000	1650000	A12-A	2.08806	22	40	357	536	0.399776	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1600000	1650000	A12-C	2.4059	22	45	421	586	0.418073	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1600000	1650000	A12-D	2.09118	22	41	391	529	0.425	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1650000	1700000	A12-A	2.04391	11	48	190	342	0.357143	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	1650000	1700000	A12-C	2.34009	11	51	201	367	0.353873	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	1650000	1700000	A12-D	2.07487	11	48	186	346	0.349624	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	1700000	1750000	A12-A	1.90154	2	55	51	59	0.5	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1700000	1750000	A12-C	2.25128	2	45	42	49	0.5	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1700000	1750000	A12-D	1.96443	2	59	49	70	0.411765	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1750000	1800000	A12-A	1.7613	2	56	48	65	0.5	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1750000	1800000	A12-C	2.08048	2	65	54	76	0.415385	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1750000	1800000	A12-D	1.85512	2	41	37	45	0.5	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1800000	1850000	A12-A	1.96453	16	42	286	391	0.422452	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1800000	1850000	A12-C	2.29311	16	46	345	402	0.461847	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1800000	1850000	A12-D	2.02827	16	45	305	419	0.421271	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1850000	1900000	A12-A	2.21521	92	45	1825	2382	0.433801	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1850000	1900000	A12-C	2.48644	92	45	1841	2312	0.443294	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1850000	1900000	A12-D	2.20327	92	41	1659	2172	0.433046	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1900000	1950000	A12-A	2.08286	100	44	1926	2526	0.432615	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1900000	1950000	A12-C	2.43555	100	47	2102	2662	0.441226	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1900000	1950000	A12-D	2.13885	100	44	1917	2499	0.434103	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	1950000	2000000	A12-A	2.26874	21	45	422	533	0.441885	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	1950000	2000000	A12-C	2.59292	21	47	443	562	0.440796	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	1950000	2000000	A12-D	2.26388	21	42	390	509	0.433815	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2000000	2050000	A12-A	2.27829	41	43	764	1006	0.431638	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2000000	2050000	A12-C	2.6538	41	47	848	1086	0.438469	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2000000	2050000	A12-D	2.27917	41	39	694	918	0.430521	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2050000	2100000	A12-A	2.08	20	44	399	499	0.444321	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2050000	2100000	A12-C	2.41926	20	47	415	539	0.43501	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2050000	2100000	A12-D	2.10564	20	46	398	524	0.43167	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2100000	2150000	A12-A	2.26192	30	40	497	730	0.405053	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2100000	2150000	A12-C	2.63508	30	43	563	740	0.43208	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2100000	2150000	A12-D	2.30268	30	41	506	738	0.406752	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2150000	2200000	A12-A	2.06602	45	46	915	1177	0.43738	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2150000	2200000	A12-C	2.40144	45	48	983	1214	0.447428	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2150000	2200000	A12-D	2.0968	45	43	873	1095	0.443598	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2200000	2250000	A12-A	2.47243	71	43	1303	1785	0.421956	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2200000	2250000	A12-C	2.7809	71	43	1378	1719	0.444947	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2200000	2250000	A12-D	2.43047	71	41	1281	1654	0.436457	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2250000	2300000	A12-A	2.31262	75	42	1377	1847	0.427109	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2250000	2300000	A12-C	2.5798	74	45	1452	1902	0.432916	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2250000	2300000	A12-D	2.27652	75	40	1339	1714	0.438585	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2300000	2350000	A12-A	2.2065	46	43	883	1101	0.44506	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2300000	2350000	A12-C	2.57787	46	47	967	1224	0.441351	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2300000	2350000	A12-D	2.21876	46	42	847	1126	0.429295	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2350000	2400000	A12-A	2.43696	73	42	1354	1733	0.438614	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2350000	2400000	A12-C	2.82561	73	43	1387	1803	0.434796	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2350000	2400000	A12-D	2.38403	73	39	1242	1644	0.430353	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2400000	2450000	A12-A	2.61436	57	41	1022	1354	0.430135	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2400000	2450000	A12-C	2.96286	57	41	1025	1351	0.431397	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2400000	2450000	A12-D	2.46188	57	39	929	1311	0.414732	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2450000	2500000	A12-A	2.4862	20	73	615	852	0.419223	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2450000	2500000	A12-C	2.87963	20	73	628	843	0.42692	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2450000	2500000	A12-D	2.46183	20	67	562	794	0.414454	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2500000	2550000	A12-A	2.08192	7	65	197	261	0.430131	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2500000	2550000	A12-C	2.40036	7	58	183	223	0.450739	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2500000	2550000	A12-D	2.11315	7	55	161	224	0.418182	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2550000	2600000	A12-A	2.25063	22	51	354	781	0.311894	60	1|1	0.217686	1|1	0	2|0	0	2|1	0.782314	2|1	0
chr1	2550000	2600000	A12-C	2.54668	22	50	326	790	0.292115	60	1|1	0.222725	1|1	0.261793	2|0	0	2|1	0.515482	2|1	0
chr1	2550000	2600000	A12-D	2.21598	22	50	345	771	0.30914	60	1|1	0.176347	1|1	0	2|0	0.217594	2|1	0	2|1	0.606059
chr1	2600000	2650000	A12-A	2.5775	26	71	631	1227	0.339612	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2600000	2650000	A12-C	2.73807	26	71	638	1227	0.342091	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2600000	2650000	A12-D	2.46814	26	66	540	1197	0.310881	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2650000	2700000	A12-A	2.31459	6	104	239	385	0.383013	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	2650000	2700000	A12-C	2.50261	6	103	243	380	0.390048	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	2650000	2700000	A12-D	2.16869	6	91	198	349	0.361974	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	2700000	2750000	A12-A	2.21722	38	46	763	997	0.433523	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2700000	2750000	A12-C	2.60789	38	50	823	1078	0.43293	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2700000	2750000	A12-D	2.15569	38	41	695	892	0.437933	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2750000	2800000	A12-A	2.25867	73	46	1437	1925	0.427424	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2750000	2800000	A12-C	2.60844	73	47	1504	1994	0.42996	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2750000	2800000	A12-D	2.1839	73	41	1281	1732	0.425158	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2800000	2850000	A12-A	2.39411	57	43	1090	1366	0.443811	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2800000	2850000	A12-C	2.74755	57	46	1169	1508	0.436683	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2800000	2850000	A12-D	2.32751	57	39	1011	1258	0.445571	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2850000	2900000	A12-A	2.06791	50	43	903	1264	0.416705	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2850000	2900000	A12-C	2.46557	50	45	975	1280	0.432373	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2850000	2900000	A12-D	2.07728	50	40	835	1182	0.413981	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2900000	2950000	A12-A	2.03737	93	47	1912	2473	0.436032	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2900000	2950000	A12-C	2.39757	93	51	2120	2659	0.443607	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2900000	2950000	A12-D	2.07184	93	46	1928	2398	0.445677	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	2950000	3000000	A12-A	2.1156	35	48	740	958	0.435807	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	2950000	3000000	A12-C	2.49687	35	51	778	1010	0.435123	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	2950000	3000000	A12-D	2.17474	35	45	705	897	0.440075	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	3000000	3050000	A12-A	2.32813	46	45	894	1192	0.428571	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	3000000	3050000	A12-C	2.71399	46	45	907	1176	0.43543	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	3000000	3050000	A12-D	2.28093	46	43	870	1116	0.438066	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	3050000	3100000	A12-A	2.20572	37	46	702	1027	0.406015	47	1|1	0.217686	1|1	0	1|1	0	2|1	0.782314	2|1	0
chr1	3050000	3100000	A12-C	2.57937	37	46	701	1037	0.403337	47	1|1	0.222725	1|1	0.261793	1|1	0	2|1	0.515482	2|1	0
chr1	3050000	3100000	A12-D	2.20936	37	42	607	976	0.383449	47	1|1	0.176347	1|1	0	1|1	0.217594	2|1	0	2|1	0.606059
chr1	3100000	3150000	A12-A	2.19747	100	48	2138	2757	0.436772	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	3100000	3150000	A12-C	2.576	100	50	2227	2805	0.442568	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	3100000	3150000	A12-D	2.15041	100	44	1948	2528	0.43521	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	3150000	3200000	A12-A	2.21674	37	45	712	953	0.427628	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	3150000	3200000	A12-C	2.59981	37	45	719	979	0.423439	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	3150000	3200000	A12-D	2.21657	37	44	718	946	0.43149	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	3200000	3250000	A12-A	2.23509	79	45	1554	2028	0.433836	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	3200000	3250000	A12-C	2.54601	79	48	1668	2139	0.43814	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
chr1	3200000	3250000	A12-D	2.24804	79	44	1505	2030	0.425743	10	1|1	0.176347	1|1	0	1|1	0.217594	1|1	0	1|1	0.606059
chr1	3250000	3300000	A12-A	2.27909	76	48	1639	2079	0.440828	10	1|1	0.217686	1|1	0	1|1	0	1|1	0.782314	1|1	0
chr1	3250000	3300000	A12-C	2.62944	76	49	1640	2142	0.433633	10	1|1	0.222725	1|1	0.261793	1|1	0	1|1	0.515482	1|1	0
