#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1
chr1	8500000	8750000	DCIS	1.07984	1	128	60	68	0.46875	0	1|1	0.457942	2|1	0.542058
chr1	8500000	8750000	INV	0.97029	1	114	56	58	0.491228	0	1|1	0.62914	2|1	0.37086
chr1	8750000	9000000	DCIS	1.15138	5	42	88	125	0.413146	0	1|1	0.457942	2|1	0.542058
chr1	8750000	9000000	INV	1.00476	5	35	66	111	0.372881	0	1|1	0.62914	2|1	0.37086
chr1	9000000	9250000	DCIS	1.07948	13	32	186	230	0.447115	0	1|1	0.457942	2|1	0.542058
chr1	9000000	9250000	INV	1.00651	9	20	68	113	0.375691	0	1|1	0.62914	2|1	0.37086
chr1	9500000	9750000	DCIS	1.05573	2	37	35	39	0.472973	0	1|1	0.457942	1|1	0.542058
chr1	9500000	9750000	INV	0.889857	2	18	17	20	0.459459	0	1|1	0.62914	1|1	0.37086
chr1	9750000	10000000	DCIS	1.09723	18	64	512	648	0.441379	0	1|1	0.457942	2|1	0.542058
chr1	9750000	10000000	INV	0.965806	12	59	292	421	0.409537	0	1|1	0.62914	2|1	0.37086
chr1	10250000	10500000	DCIS	0.986755	30	81	1071	1365	0.439655	0	1|1	0.457942	1|1	0.542058
chr1	10250000	10500000	INV	0.962823	27	74	811	1205	0.402282	0	1|1	0.62914	1|1	0.37086
chr1	10500000	10750000	DCIS	0.994871	16	40	271	379	0.416923	0	1|1	0.457942	1|1	0.542058
chr1	10500000	10750000	INV	0.878584	12	37	154	300	0.339207	0	1|1	0.62914	1|1	0.37086
chr1	10750000	11000000	DCIS	0.966527	2	20	17	24	0.414634	0	1|1	0.457942	1|1	0.542058
chr1	10750000	11000000	INV	0.85867	2	15	15	16	0.483871	0	1|1	0.62914	1|1	0.37086
chr1	11000000	11250000	DCIS	1.03886	34	57	852	1106	0.435138	0	1|1	0.457942	2|1	0.542058
chr1	11000000	11250000	INV	0.990721	24	60	595	851	0.41148	0	1|1	0.62914	2|1	0.37086
chr1	11250000	11500000	DCIS	1.00447	13	47	270	349	0.436187	0	1|1	0.457942	1|1	0.542058
chr1	11250000	11500000	INV	0.911683	10	33	146	188	0.437126	0	1|1	0.62914	1|1	0.37086
chr1	11500000	11750000	DCIS	0.996398	6	28	70	102	0.406977	0	1|1	0.457942	1|1	0.542058
chr1	11500000	11750000	INV	0.880699	4	31	48	76	0.387097	0	1|1	0.62914	1|1	0.37086
chr1	11750000	12000000	DCIS	1.0174	5	54	113	161	0.412409	0	1|1	0.457942	1|1	0.542058
chr1	11750000	12000000	INV	0.887662	4	50	89	111	0.445	0	1|1	0.62914	1|1	0.37086
chr1	12000000	12250000	DCIS	1.07339	23	40	404	525	0.434876	0	1|1	0.457942	1|1	0.542058
chr1	12000000	12250000	INV	0.917719	17	33	218	345	0.387211	0	1|1	0.62914	1|1	0.37086
chr1	12250000	12500000	DCIS	0.947232	12	57	284	402	0.413994	0	1|1	0.457942	1|1	0.542058
chr1	12250000	12500000	INV	0.908129	8	63	201	307	0.395669	0	1|1	0.62914	1|1	0.37086
chr1	12750000	13000000	DCIS	0.884541	33	70	970	1360	0.416309	0	1|1	0.457942	1|1	0.542058
chr1	12750000	13000000	INV	0.80763	23	67	639	907	0.413325	0	1|1	0.62914	1|1	0.37086
chr1	13000000	13250000	DCIS	0.875092	17	54	359	571	0.386022	0	1|1	0.457942	2|0	0.542058
chr1	13000000	13250000	INV	0.772122	13	27	121	242	0.333333	0	1|1	0.62914	2|0	0.37086
chr1	13500000	13750000	DCIS	0.851501	2	47	44	51	0.463158	0	1|1	0.457942	1|1	0.542058
chr1	13500000	13750000	INV	0.741188	1	80	31	49	0.3875	0	1|1	0.62914	1|1	0.37086
chr1	13750000	14000000	DCIS	0.843473	1	81	37	44	0.45679	0	1|1	0.457942	1|1	0.542058
chr1	13750000	14000000	INV	0.878131	1	68	29	39	0.426471	0	1|1	0.62914	1|1	0.37086
chr1	14000000	14250000	DCIS	0.905619	5	49	104	142	0.422764	0	1|1	0.457942	1|1	0.542058
chr1	14000000	14250000	INV	0.902958	4	44	74	104	0.41573	0	1|1	0.62914	1|1	0.37086
chr1	15250000	15500000	DCIS	0.894413	10	43	188	245	0.43418	0	1|1	0.457942	1|1	0.542058
chr1	15250000	15500000	INV	0.815992	6	54	140	185	0.430769	0	1|1	0.62914	1|1	0.37086
chr1	15500000	15750000	DCIS	0.972648	9	70	261	371	0.412975	0	1|1	0.457942	1|1	0.542058
chr1	15500000	15750000	INV	0.914209	6	59	153	206	0.426184	0	1|1	0.62914	1|1	0.37086
chr1	15750000	16000000	DCIS	1.07942	3	40	53	67	0.441667	0	1|1	0.457942	1|1	0.542058
chr1	15750000	16000000	INV	0.953206	2	30	24	36	0.4	0	1|1	0.62914	1|1	0.37086
chr1	16000000	16250000	DCIS	1.11203	5	37	81	107	0.430851	0	1|1	0.457942	2|1	0.542058
chr1	16000000	16250000	INV	0.991911	4	39	69	88	0.43949	0	1|1	0.62914	2|1	0.37086
chr1	16250000	16500000	DCIS	1.0009	9	25	101	129	0.43913	0	1|1	0.457942	1|1	0.542058
chr1	16250000	16500000	INV	0.840823	6	19	43	76	0.361345	0	1|1	0.62914	1|1	0.37086
chr1	16500000	16750000	DCIS	1.0811	3	29	39	50	0.438202	0	1|1	0.457942	1|1	0.542058
chr1	16500000	16750000	INV	0.883523	3	23	32	38	0.457143	0	1|1	0.62914	1|1	0.37086
chr1	16750000	17000000	DCIS	0.911979	92	49	1732	2831	0.379575	0	1|1	0.457942	2|0	0.542058
chr1	16750000	17000000	INV	0.780261	69	33	909	1419	0.390464	0	1|1	0.62914	2|0	0.37086
chr1	17000000	17250000	DCIS	0.919398	53	49	1043	1593	0.395675	0	1|1	0.457942	1|1	0.542058
chr1	17000000	17250000	INV	0.753898	36	40	603	865	0.410763	0	1|1	0.62914	1|1	0.37086
chr1	17250000	17500000	DCIS	1.01218	18	43	337	442	0.432606	0	1|1	0.457942	1|1	0.542058
chr1	17250000	17500000	INV	0.840725	14	30	164	265	0.382284	0	1|1	0.62914	1|1	0.37086
chr1	17500000	17750000	DCIS	1.00631	36	50	797	1020	0.438635	0	1|1	0.457942	1|1	0.542058
chr1	17500000	17750000	INV	0.862459	26	45	506	668	0.431005	0	1|1	0.62914	1|1	0.37086
chr1	17750000	18000000	DCIS	0.968455	13	42	236	314	0.429091	0	1|1	0.457942	1|1	0.542058
chr1	17750000	18000000	INV	0.820706	8	48	174	211	0.451948	0	1|1	0.62914	1|1	0.37086
chr1	18000000	18250000	DCIS	0.878476	3	25	37	40	0.480519	0	1|1	0.457942	1|1	0.542058
chr1	18000000	18250000	INV	0.813333	3	14	18	25	0.418605	0	1|1	0.62914	1|1	0.37086
chr1	18500000	18750000	DCIS	0.861277	6	20	52	71	0.422764	0	1|1	0.457942	1|1	0.542058
chr1	18500000	18750000	INV	0.828204	3	13	16	25	0.390244	0	1|1	0.62914	1|1	0.37086
chr1	18750000	19000000	DCIS	0.933004	8	32	109	149	0.422481	0	1|1	0.457942	1|1	0.542058
chr1	18750000	19000000	INV	0.85355	6	22	49	88	0.357664	0	1|1	0.62914	1|1	0.37086
chr1	19000000	19250000	DCIS	0.922232	21	49	449	582	0.4355	0	1|1	0.457942	1|1	0.542058
chr1	19000000	19250000	INV	0.781803	17	31	220	321	0.406654	0	1|1	0.62914	1|1	0.37086
chr1	19250000	19500000	DCIS	0.931206	4	31	43	83	0.34127	0	1|1	0.457942	2|0	0.542058
chr1	19250000	19500000	INV	0.785611	1	36	17	19	0.472222	0	1|1	0.62914	2|0	0.37086
chr1	19500000	19750000	DCIS	1.02295	17	68	539	625	0.463058	0	1|1	0.457942	1|1	0.542058
chr1	19500000	19750000	INV	0.862401	15	57	380	480	0.44186	0	1|1	0.62914	1|1	0.37086
chr1	19750000	20000000	DCIS	1.0159	4	43	79	93	0.459302	0	1|1	0.457942	1|1	0.542058
chr1	19750000	20000000	INV	0.840592	3	23	27	44	0.380282	0	1|1	0.62914	1|1	0.37086
chr1	20000000	20250000	DCIS	0.977008	13	50	270	383	0.413476	0	1|1	0.457942	1|1	0.542058
chr1	20000000	20250000	INV	0.820627	10	41	170	249	0.405728	0	1|1	0.62914	1|1	0.37086
chr1	20250000	20500000	DCIS	0.909848	11	34	160	216	0.425532	0	1|1	0.457942	1|1	0.542058
chr1	20250000	20500000	INV	0.83516	5	32	73	91	0.445122	0	1|1	0.62914	1|1	0.37086
chr1	20500000	20750000	DCIS	0.968693	3	82	117	131	0.471774	0	1|1	0.457942	1|1	0.542058
chr1	20500000	20750000	INV	0.799032	3	56	67	102	0.39645	0	1|1	0.62914	1|1	0.37086
chr1	20750000	21000000	DCIS	1.02278	11	52	237	340	0.410745	0	1|1	0.457942	1|1	0.542058
chr1	20750000	21000000	INV	0.877989	7	48	145	197	0.423977	0	1|1	0.62914	1|1	0.37086
chr1	21500000	21750000	DCIS	1.08736	1	32	14	18	0.4375	0	1|1	0.457942	1|1	0.542058
chr1	21500000	21750000	INV	0.893195	1	20	9	11	0.45	0	1|1	0.62914	1|1	0.37086
chr1	21750000	22000000	DCIS	0.882636	22	40	343	556	0.381535	0	1|1	0.457942	2|0	0.542058
chr1	21750000	22000000	INV	0.816495	13	44	233	345	0.403114	0	1|1	0.62914	2|0	0.37086
chr1	22000000	22250000	DCIS	1	37	32	516	690	0.427861	0	1|1	0.457942	1|1	0.542058
chr1	22000000	22250000	INV	0.90985	25	25	259	369	0.41242	0	1|1	0.62914	1|1	0.37086
chr1	22250000	22500000	DCIS	1.10217	16	54	382	489	0.438576	0	1|1	0.457942	1|1	0.542058
chr1	22250000	22500000	INV	0.866118	11	36	180	224	0.445545	0	1|1	0.62914	1|1	0.37086
chr1	22750000	23000000	DCIS	0.881151	6	76	214	247	0.464208	0	1|1	0.457942	1|1	0.542058
chr1	22750000	23000000	INV	0.770132	5	84	177	243	0.421429	0	1|1	0.62914	1|1	0.37086
chr1	23000000	23250000	DCIS	0.92911	6	38	97	135	0.418103	0	1|1	0.457942	1|1	0.542058
chr1	23000000	23250000	INV	0.843251	3	28	35	51	0.406977	0	1|1	0.62914	1|1	0.37086
chr1	23250000	23500000	DCIS	0.930496	2	64	56	72	0.4375	0	1|1	0.457942	1|1	0.542058
chr1	23250000	23500000	INV	0.844666	2	18	17	19	0.472222	0	1|1	0.62914	1|1	0.37086
chr1	23500000	23750000	DCIS	1.03279	12	72	381	486	0.439446	0	1|1	0.457942	1|1	0.542058
chr1	23500000	23750000	INV	0.920336	8	66	211	321	0.396617	0	1|1	0.62914	1|1	0.37086
chr1	23750000	24000000	DCIS	1.04963	8	38	126	183	0.407767	0	1|1	0.457942	1|1	0.542058
chr1	23750000	24000000	INV	0.829174	5	21	39	68	0.364486	0	1|1	0.62914	1|1	0.37086
chr1	24000000	24250000	DCIS	1.10839	25	62	701	855	0.450514	0	1|1	0.457942	2|1	0.542058
chr1	24000000	24250000	INV	0.941683	21	47	417	587	0.415339	0	1|1	0.62914	2|1	0.37086
chr1	24500000	24750000	DCIS	0.952098	18	69	549	705	0.437799	0	1|1	0.457942	1|1	0.542058
chr1	24500000	24750000	INV	0.831945	13	66	374	487	0.434379	0	1|1	0.62914	1|1	0.37086
chr1	24750000	25000000	DCIS	1.01477	10	71	319	394	0.447405	0	1|1	0.457942	1|1	0.542058
chr1	24750000	25000000	INV	0.908666	7	35	104	146	0.416	0	1|1	0.62914	1|1	0.37086
chr1	25250000	25500000	DCIS	1.03941	2	51	48	55	0.466019	0	1|1	0.457942	2|0	0.542058
chr1	25250000	25500000	INV	0.865771	1	86	25	61	0.290698	0	1|1	0.62914	2|0	0.37086
chr1	25500000	25750000	DCIS	1.02248	7	98	302	386	0.438953	0	1|1	0.457942	1|1	0.542058
chr1	25500000	25750000	INV	0.87341	5	24	46	76	0.377049	0	1|1	0.62914	1|1	0.37086
chr1	25750000	26000000	DCIS	0.972895	14	34	206	279	0.424742	0	1|1	0.457942	1|1	0.542058
chr1	25750000	26000000	INV	0.902824	9	31	122	161	0.431095	0	1|1	0.62914	1|1	0.37086
chr1	26000000	26250000	DCIS	1.0832	8	49	153	242	0.387342	0	1|1	0.457942	1|1	0.542058
chr1	26000000	26250000	INV	0.880955	6	35	93	120	0.43662	0	1|1	0.62914	1|1	0.37086
chr1	26250000	26500000	DCIS	1.07765	18	58	462	592	0.43833	0	1|1	0.457942	1|1	0.542058
chr1	26250000	26500000	INV	0.854594	13	44	257	322	0.443869	0	1|1	0.62914	1|1	0.37086
chr1	26500000	26750000	DCIS	1.07445	27	42	487	673	0.419828	0	1|1	0.457942	1|1	0.542058
chr1	26500000	26750000	INV	0.876805	20	26	212	325	0.394786	0	1|1	0.62914	1|1	0.37086
chr1	26750000	27000000	DCIS	1.07651	9	45	175	237	0.424757	0	1|1	0.457942	1|1	0.542058
chr1	26750000	27000000	INV	0.937936	6	22	54	80	0.402985	0	1|1	0.62914	1|1	0.37086
chr1	27000000	27250000	DCIS	1.07616	16	40	263	378	0.410296	0	1|1	0.457942	1|1	0.542058
chr1	27000000	27250000	INV	0.825654	9	34	140	170	0.451613	0	1|1	0.62914	1|1	0.37086
chr1	27250000	27500000	DCIS	1.06125	10	37	165	206	0.444744	0	1|1	0.457942	2|0	0.542058
chr1	27250000	27500000	INV	0.914933	8	23	62	127	0.328042	0	1|1	0.62914	2|0	0.37086
chr1	27500000	27750000	DCIS	1.05705	8	26	85	125	0.404762	0	1|1	0.457942	1|1	0.542058
chr1	27500000	27750000	INV	0.8459	4	21	33	54	0.37931	0	1|1	0.62914	1|1	0.37086
chr1	27750000	28000000	DCIS	1.15025	2	34	20	49	0.289855	0	1|1	0.457942	2|0	0.542058
chr1	27750000	28000000	INV	0.884831	2	31	21	42	0.333333	0	1|1	0.62914	2|0	0.37086
chr1	28000000	28250000	DCIS	1.06059	9	42	163	215	0.431217	0	1|1	0.457942	1|1	0.542058
chr1	28000000	28250000	INV	0.956115	6	31	89	97	0.478495	0	1|1	0.62914	1|1	0.37086
chr1	28250000	28500000	DCIS	1.01871	5	59	136	163	0.454849	0	1|1	0.457942	1|1	0.542058
chr1	28250000	28500000	INV	0.919295	4	50	96	105	0.477612	0	1|1	0.62914	1|1	0.37086
chr1	28750000	29000000	DCIS	1.0786	11	64	321	389	0.452113	0	1|1	0.457942	2|1	0.542058
chr1	28750000	29000000	INV	1.02744	6	82	203	289	0.412602	0	1|1	0.62914	2|1	0.37086
chr1	29000000	29250000	DCIS	1.10092	3	24	34	40	0.459459	0	1|1	0.457942	2|1	0.542058
chr1	29000000	29250000	INV	1.05741	3	15	21	24	0.466667	0	1|1	0.62914	2|1	0.37086
chr1	29500000	29750000	DCIS	0.975894	2	67	53	82	0.392593	0	1|1	0.457942	1|1	0.542058
chr1	29500000	29750000	INV	0.805326	2	51	41	61	0.401961	0	1|1	0.62914	1|1	0.37086
chr1	31000000	31250000	DCIS	0.981079	11	60	308	361	0.460389	0	1|1	0.457942	1|1	0.542058
chr1	31000000	31250000	INV	0.771142	8	55	200	245	0.449438	0	1|1	0.62914	1|1	0.37086
chr1	31250000	31500000	DCIS	1.15645	3	65	87	110	0.441624	0	1|1	0.457942	3|0	0.542058
chr1	31250000	31500000	INV	0.989985	2	16	4	28	0.125	0	1|1	0.62914	3|0	0.37086
chr1	31750000	32000000	DCIS	1.2432	8	52	179	238	0.429257	0	1|1	0.457942	2|1	0.542058
chr1	31750000	32000000	INV	1.0121	5	48	103	137	0.429167	0	1|1	0.62914	2|1	0.37086
chr1	32000000	32250000	DCIS	1.03188	4	40	63	99	0.388889	0	1|1	0.457942	1|1	0.542058
chr1	32000000	32250000	INV	0.803611	1	103	39	64	0.378641	0	1|1	0.62914	1|1	0.37086
chr1	32250000	32500000	DCIS	0.984893	4	41	69	97	0.415663	0	1|1	0.457942	1|1	0.542058
chr1	32250000	32500000	INV	0.886595	3	33	45	56	0.445545	0	1|1	0.62914	1|1	0.37086
chr1	32500000	32750000	DCIS	1.06307	2	49	44	55	0.444444	0	1|1	0.457942	2|0	0.542058
chr1	32500000	32750000	INV	0.898551	2	32	14	50	0.21875	0	1|1	0.62914	2|0	0.37086
chr1	33000000	33250000	DCIS	1.09814	21	53	500	631	0.442087	0	1|1	0.457942	2|1	0.542058
chr1	33000000	33250000	INV	1.0148	11	48	231	306	0.430168	0	1|1	0.62914	2|1	0.37086
chr1	33250000	33500000	DCIS	1.05916	10	58	254	334	0.431973	0	1|1	0.457942	1|1	0.542058
chr1	33250000	33500000	INV	0.908292	5	78	180	214	0.456853	0	1|1	0.62914	1|1	0.37086
chr1	33500000	33750000	DCIS	1.00086	5	35	79	97	0.448864	0	1|1	0.457942	1|1	0.542058
chr1	33500000	33750000	INV	0.800058	5	16	32	48	0.4	0	1|1	0.62914	1|1	0.37086
chr1	33750000	34000000	DCIS	0.886491	6	71	196	230	0.460094	0	1|1	0.457942	1|1	0.542058
chr1	33750000	34000000	INV	0.806212	4	55	94	129	0.421525	0	1|1	0.62914	1|1	0.37086
chr1	34000000	34250000	DCIS	0.867728	15	58	406	465	0.466131	0	1|1	0.457942	1|1	0.542058
chr1	34000000	34250000	INV	0.743773	13	47	259	354	0.422512	0	1|1	0.62914	1|1	0.37086
chr1	34500000	34750000	DCIS	0.767804	7	39	115	163	0.413669	0	1|1	0.457942	1|1	0.542058
chr1	34500000	34750000	INV	0.754873	5	43	92	123	0.427907	0	1|1	0.62914	1|1	0.37086
chr1	35000000	35250000	DCIS	0.907812	3	62	74	113	0.395722	0	1|1	0.457942	1|1	0.542058
chr1	35000000	35250000	INV	0.856783	2	66	54	79	0.406015	0	1|1	0.62914	1|1	0.37086
chr1	35250000	35500000	DCIS	0.928272	5	40	81	122	0.399015	0	1|1	0.457942	1|1	0.542058
chr1	35250000	35500000	INV	0.887056	5	29	59	86	0.406897	0	1|1	0.62914	1|1	0.37086
chr1	35500000	35750000	DCIS	1.0171	1	34	1	33	0.0294118	0	1|1	0.457942	2|0	0.542058
chr1	35500000	35750000	INV	0.965008	1	9	1	8	0.111111	0	1|1	0.62914	2|0	0.37086
chr1	35750000	36000000	DCIS	0.949854	3	96	131	157	0.454861	0	1|1	0.457942	1|1	0.542058
chr1	35750000	36000000	INV	0.878538	3	71	99	115	0.462617	0	1|1	0.62914	1|1	0.37086
chr1	36250000	36500000	DCIS	1.009	1	35	14	21	0.4	0	1|1	0.457942	1|1	0.542058
chr1	36250000	36500000	INV	0.915681	1	22	10	12	0.454545	0	1|1	0.62914	1|1	0.37086
chr1	36500000	36750000	DCIS	1.0573	1	40	14	26	0.35	0	1|1	0.457942	2|0	0.542058
chr1	36500000	36750000	INV	0.854351	1	12	4	8	0.333333	0	1|1	0.62914	2|0	0.37086
chr1	36750000	37000000	DCIS	1.05613	38	62	1040	1320	0.440678	0	1|1	0.457942	1|1	0.542058
chr1	36750000	37000000	INV	0.871229	25	64	711	891	0.44382	0	1|1	0.62914	1|1	0.37086
chr1	37250000	37500000	DCIS	0.764062	1	52	21	31	0.403846	0	1|1	0.457942	1|1	0.542058
chr1	37250000	37500000	INV	0.732693	1	35	17	18	0.485714	0	1|1	0.62914	1|1	0.37086
chr1	37500000	37750000	DCIS	0.759973	2	34	33	35	0.485294	0	1|1	0.457942	1|1	0.542058
chr1	37500000	37750000	INV	0.733942	1	40	14	26	0.35	0	1|1	0.62914	1|1	0.37086
chr1	37750000	38000000	DCIS	1.07828	8	51	180	235	0.433735	0	1|1	0.457942	1|1	0.542058
chr1	37750000	38000000	INV	0.886966	5	41	97	108	0.473171	0	1|1	0.62914	1|1	0.37086
chr1	38000000	38250000	DCIS	0.987987	14	28	152	241	0.386768	0	1|1	0.457942	1|1	0.542058
chr1	38000000	38250000	INV	0.857032	9	19	57	115	0.331395	0	1|1	0.62914	1|1	0.37086
chr1	38250000	38500000	DCIS	1.03578	23	63	664	798	0.454172	0	1|1	0.457942	1|1	0.542058
chr1	38250000	38500000	INV	0.909281	18	51	392	542	0.4197	0	1|1	0.62914	1|1	0.37086
chr1	39000000	39250000	DCIS	0.808251	2	81	70	93	0.429448	0	1|1	0.457942	1|1	0.542058
chr1	39000000	39250000	INV	0.781007	2	59	48	70	0.40678	0	1|1	0.62914	1|1	0.37086
chr1	39750000	40000000	DCIS	1.45455	5	111	175	380	0.315315	4	1|1	0.457942	2|1	0.542058
chr1	39750000	40000000	INV	1.13927	5	61	128	178	0.418301	4	1|1	0.62914	2|1	0.37086
chr1	40000000	40250000	DCIS	1.44449	14	60	273	569	0.324228	4	1|1	0.457942	2|1	0.542058
chr1	40000000	40250000	INV	1.10418	11	56	232	386	0.375405	4	1|1	0.62914	2|1	0.37086
chr1	40250000	40500000	DCIS	1.69062	5	105	167	358	0.318095	4	1|1	0.457942	3|1	0.542058
chr1	40250000	40500000	INV	1.15746	3	57	72	99	0.421053	4	1|1	0.62914	3|1	0.37086
chr1	40500000	40750000	DCIS	1.57031	3	83	63	188	0.250996	4	1|1	0.457942	3|1	0.542058
chr1	40500000	40750000	INV	1.31638	2	32	19	46	0.292308	4	1|1	0.62914	3|1	0.37086
chr1	40750000	41000000	DCIS	1.40138	9	128	393	763	0.339965	4	1|1	0.457942	2|1	0.542058
chr1	40750000	41000000	INV	1.15774	7	78	215	336	0.3902	4	1|1	0.62914	2|1	0.37086
chr1	41000000	41250000	DCIS	1.35038	5	103	165	352	0.319149	4	1|1	0.457942	2|1	0.542058
chr1	41000000	41250000	INV	1.1403	5	55	117	158	0.425455	4	1|1	0.62914	2|1	0.37086
chr1	41250000	41500000	DCIS	1.42317	7	50	122	234	0.342697	4	1|1	0.457942	2|1	0.542058
chr1	41250000	41500000	INV	1.13551	4	61	99	145	0.405738	4	1|1	0.62914	2|1	0.37086
chr1	41750000	42000000	DCIS	1.42028	3	28	31	55	0.360465	4	1|1	0.457942	2|1	0.542058
chr1	41750000	42000000	INV	1.12572	2	11	11	12	0.478261	4	1|1	0.62914	2|1	0.37086
chr1	42000000	42250000	DCIS	1.07392	2	41	31	52	0.373494	6	1|1	0.457942	2|1	0.542058
chr1	42000000	42250000	INV	0.97561	1	25	11	14	0.44	6	1|1	0.62914	2|1	0.37086
