symbol	Name	Genome Location	Chr Band	Role in Cancer
FLCN	folliculin	17:17212212-17237139	11.2	"E
FLI1	Friend leukemia virus integration 1	11:128693770-128813267	24.3	"oncogene
FLNA	filamin A	X:154348526-154374638	28	
FLT3	fms-related tyrosine kinase 3	13:28003274-28100592	12.2	Dom
FLT4	fms-related tyrosine kinase 4	5:180601506-180649624	35.3	oncogene
FNBP1	formin binding protein 1 (FBP17)	9:129887187-130043162	34.11	fusion
FOXA1	forkhead box A1	14:37589984-37595034	21.1	Dom
FOXL2	forkhead box L2	3:138944224-138947140	22.3	"oncogene
FOXO1	forkhead box O1	13:40555667-40666597	14.11	"oncogene
FOXO3	forkhead box O3	6:108560866-108684768	21	"oncogene
FOXO4	forkhead box O4	X:71096197-71103535	13.1	 M"
FOXP1	forkhead box P1	3:70954715-71583989	13	"oncogene
FOXR1	forkhead box R1	11:118971707-118981291	23.3	"oncogene
FSTL3	follistatin-like 3 (secreted glycoprotein)	19:676365-683399	13.3	"oncogene
FUBP1	far upstream element (FUSE) binding protein 1	1:77948405-77979086	31.1	oncogene
FUS	"fusion	2521	Yes	 fibromyxoid sarcoma"
GAS7	growth arrest-specific 7	17:9913850-10198551	13.1	fusion
GATA1	GATA binding protein 1 (globin transcription factor 1)	X:48786554-48794308	11.23	"oncogene
GATA2	GATA binding protein 2	3:128479427-128493185	21.3	oncogene
GATA3	GATA binding protein 3	10:8054653-8075203	14	"oncogene
GLI1	GLI family zinc finger 1	12:57460138-57472262	13.3	
GMPS	guanine monphosphate synthetase	3:155870536-155944026	25.31	fusion
GNA11	"guanine nucleotide binding protein (G protein)	2767	Yes	"E
GNAQ	"guanine nucleotide binding protein (G protein)	2776	Yes	"E
GNAS	"guanine nucleotide binding protein (G protein)	2778	Yes	
GOLGA5	"golgi autoantigen	 5  (PTC5)"	1	
GOPC	golgi associated PDZ and coiled-coil motif containing	6:117560269-117602364	22.1	"E
GPC3	glypican 3	X:133535754-133985646	26.2	"oncogene
GPC5	glypican 5	13:91398607-92867237	31.3	TSG
GPHN	gephyrin (GPH)	14:66507407-67181803	23.3	fusion
GRIN2A	"glutamate receptor	 N-methyl D-aspartate 2A"	1	 lung carcinoma"
GRM3	glutamate metabotropic receptor 3	7:86643914-86864884	21.12	
H3F3A	"H3 histone	3020	Yes	Dom
H3F3B	"H3 histone	3021	Yes	Dom
HERPUD1	"homocysteine-inducible	 ubiquitin-like domain member 1"	1	E
HEY1	hairy/enhancer-of-split related with YRPW motif 1	8:79764013-79767857	21.13	"oncogene
HIF1A	hypoxia inducible factor 1 alpha subunit	14:61697622-61748259	23.2	 pancreatic"
HIP1	huntingtin interacting protein 1	7:75533300-75738947	11.23	 E"
HIST1H3B	"histone cluster 1	8358		Dom
HIST1H4I	"histone 1	8294		Dom
HLA-A	"major histocompatibility complex	 A"	1	E
HLF	hepatic leukemia factor	17:55265012-55325065	22	"oncogene
HMGA1	high mobility group AT-hook 1	6:34236873-34246230	21.31	 M"
HMGA2	high mobility group AT-hook 2 (HMGIC)	12:65824460-65915447	14.3	M
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	15:45511136-45556730	21.1	fusion
HNF1A	HNF1 homeobox A	12:120978749-121001269	24.31	E
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	7:26189927-26200746	15.2	"oncogene
HOOK3	hook homolog 3	8:42896932-43030539	11.21	fusion
HOXA11	homeo box A11	7:27181515-27185216	15.2	"oncogene
HOXA13	homeo box A13	7:27194364-27200106	15.2	"oncogene
HOXA9	homeo box A9	7:27162435-27165530	15.2	"oncogene
HOXC11	homeo box C11	12:53973126-53977643	13.13	"oncogene
HOXC13	homeo box C13	12:53938765-53946544	13.13	"oncogene
HOXD11	homeo box D11	2:176107286-176109588	31.1	"oncogene
HOXD13	homeo box D13	2:176092891-176095938	31.1	"oncogene
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	11:532243-535550	15.5	Costello syndrome
HSP90AA1	"heat shock protein 90kDa alpha (cytosolic)	3320		Dom
HSP90AB1	"heat shock protein 90kDa alpha (cytosolic)	3326		Dom
ID3	"inhibitor of DNA binding 3	3399		
IDH1	"isocitrate dehydrogenase 1 (NADP+)	3417	Yes	Dom
IDH2	"isocitrate dehydrogenase 2 (NADP+)	3418	Yes	Dom
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	3:185643975-185825012	27.2	TSG
IGH	immunoglobulin heavy locus	14:-	32.33	 MALT
IGK	immunoglobulin kappa locus	2:-	12	Dom
IGL	immunoglobulin lambda locus	22:-	11.2	fusion
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells	3551		Dom
IKZF1	IKAROS family zinc finger 1	7:50304669-50405101	12.2	Dom/Rec
IL2	interleukin 2	4:122451470-122456725	27	fusion
IL21R	interleukin 21 receptor	16:27402162-27452042	12.1	fusion
IL6ST	"interleukin 6 signal transducer (gp130	3572	Yes	Dom
IL7R	interleukin 7 receptor	5:35856849-35879603	13.2	Dom
IRF4	interferon regulatory factor 4	6:391739-411447	25.3	"oncogene
IRS4	insulin receptor substrate 4	X:108732482-108736409	22.3	
ISX	intestine specific homeobox	22:35066136-35087387	12.3	
ITGAV	integrin subunit alpha V	2:186590065-186680901	32.1	
ITK	IL2-inducible T-cell kinase	5:157180826-157255191	33.3	fusion
JAK1	Janus kinase 1	1:64833229-64966504	31.3	"oncogene
JAK2	Janus kinase 2	9:4985245-5128183	24.1	
JAK3	Janus kinase 3	19:17824786-17848032	13.11	Dom
JAZF1	juxtaposed with another zinc finger gene 1	7:27830573-28180743	15.2	fusion
JUN	jun oncogene	1:58780788-58784327	32.1	oncogene
KAT6A	K(lysine) acetyltransferase 6A	8:41929479-42051987	11.21	"oncogene
KAT6B	K(lysine) acetyltransferase 6B	10:74826625-75032622	22.2	 M"
KAT7	lysine acetyltransferase 7	17:49788555-49835030	21.33	oncogene
KCNJ5	"potassium inwardly-rectifying channel; subfamily J; member 5"	11:128891356-128921035	24.3	oncogene
KDM5A	"lysine (K)-specific demethylase 5A	5927		Dom
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	X:53192152-53225422	11.22	TSG
KDM6A	"lysine (K)-specific demethylase 6A	7403	Yes	 medulloblastoma
KDR	vascular endothelial growth factor receptor 2	4:55078259-55125595	12	Dom
KDSR	3-ketodihydrosphingosine reductase	18:63327726-63367510	21.33	fusion
KEAP1	kelch like ECH associated protein 1	19:10486120-10503741	13.2	
KIAA1549	KIAA1549	7:138837525-138981318	34	fusion
KIF5B	kinesin family member 5B	10:32009010-32056431	11.22	Dom
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4:54657918-54740715	12	"GIST
KLF4	Kruppel-like factor 4	9:107484852-107489646	31.2	"oncogene
KLF6	Kruppel-like factor 6	10:3775996-3785275	15.2	 O"
KLK2	kallikrein-related peptidase 2	19:50873249-50880567	13.33	fusion
KMT2A	lysine (K)-specific methyltransferase 2A	11:118436490-118526832	23.3	Dom
KMT2C	lysine (K)-specific methyltransferase 2C	7:152134925-152436005	36.1	TSG
KMT2D	lysine (K)-specific methyltransferase 2D	12:49018975-49055324	13.12	 E"
KNL1	cancer susceptibility candidate 5	15:40594020-40664342	15.1	"TSG
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	15:40382721-40394245	15.1	oncogene
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	12:25209431-25250803	12.1	 other tumour types"
KTN1	kinectin 1 (kinesin receptor)	14:55580317-55684579	22.3	fusion
LARP4B	La ribonucleoprotein domain family member 4B	10:806914-931705	15.3	 O"
LASP1	LIM and SH3 protein 1	17:38869859-38921770	12	fusion
LATS1	large tumor suppressor kinase 1	6:149658153-149718256	25.1	TSG
LATS2	large tumor suppressor kinase 2	13:20973032-21061547	12.11	TSG
LCK	lymphocyte-specific protein tyrosine kinase	1:32251239-32286165	35.2	"oncogene
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	13:46125920-46211348	14.13	fusion
LEF1	lymphoid enhancer binding factor 1	4:108047545-108168422	25	
LEPROTL1	leptin receptor overlapping transcript like 1	8:30095480-30138348	12	
LHFPL6	lipoma HMGIC fusion partner	13:39342892-39603171	14.11	fusion
LIFR	leukemia inhibitory factor receptor	5:38474963-38595404	13.1	fusion
LMNA	lamin A/C	1:156114707-156140089	22	fusion
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	11:8224304-8263858	15.4	Dom
LMO2	LIM domain only 2 (rhombotin-like 1) (RBTN2)	11:33858576-33892289	13	"oncogene
LPP	LIM domain containing preferred translocation partner in lipoma	3:188212933-188890671	28	 M"
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	12:58872149-58920522	14.1	"TSG
LRP1B	LDL receptor related protein 1B	2:140231423-142131701	22.2	
